Warehouse_ID,Store_ID,Invoice No,Match Method,Label Damage, Damage,Returns Collected,DateTime arrived at store,DateTime Left store
3,4,5296,Scanned,0,1,0,05/02/2020 02:23:00,05/02/2020 03:20:27
8,5,5152,Manual,1,1,0,24/06/2020 18:56:00,24/06/2020 19:42:40
2,38,7114,Scanned,0,1,0,21/04/2020 02:03:00,21/04/2020 02:24:16
10,38,3502,Manual,0,1,0,28/04/2020 15:41:00,28/04/2020 16:17:01
6,11,6860,Scanned,1,1,1,01/02/2020 13:40:00,01/02/2020 14:01:09
7,10,1095,Manual,1,0,1,29/03/2020 16:13:00,29/03/2020 16:15:06
9,7,9841,Manual,0,1,0,26/05/2020 01:30:00,26/05/2020 01:34:42
5,46,6145,Scanned,1,0,1,12/04/2020 12:49:00,12/04/2020 13:06:04
10,8,8961,Scanned,1,1,1,30/03/2020 17:28:00,30/03/2020 18:12:45
10,22,7210,Scanned,0,1,1,05/03/2020 19:08:00,05/03/2020 19:44:30
5,25,6773,Manual,1,0,0,12/02/2020 11:13:00,12/02/2020 11:56:05
4,40,1988,Manual,1,0,0,05/02/2020 01:05:00,05/02/2020 01:17:14
7,45,4015,Manual,0,0,1,25/04/2020 10:23:00,25/04/2020 10:40:20
2,18,6826,Scanned,0,1,0,17/02/2020 12:09:00,17/02/2020 13:02:20
3,29,6056,Manual,0,0,1,27/02/2020 03:22:00,27/02/2020 03:30:26
10,13,2221,Manual,1,0,1,30/06/2020 10:04:00,30/06/2020 10:09:11
7,34,1547,Manual,0,1,1,01/02/2020 06:15:00,01/02/2020 07:10:48
10,40,2037,Manual,0,1,0,18/04/2020 19:17:00,18/04/2020 19:29:00
5,10,9558,Manual,0,1,0,27/02/2020 02:49:00,27/02/2020 03:47:10
5,45,6893,Manual,1,1,0,09/04/2020 20:03:00,09/04/2020 20:31:35
6,25,4549,Manual,0,0,0,18/02/2020 09:36:00,18/02/2020 10:17:24
4,16,4461,Manual,0,0,0,06/05/2020 06:04:00,06/05/2020 06:23:20
2,45,500,Scanned,0,1,0,25/06/2020 00:07:00,25/06/2020 00:29:38
3,8,1921,Scanned,1,1,0,17/01/2020 21:29:00,17/01/2020 21:43:01
10,43,8413,Manual,0,0,1,13/04/2020 08:29:00,13/04/2020 08:41:53
6,1,8555,Scanned,1,1,1,14/02/2020 03:32:00,14/02/2020 04:12:48
7,42,3659,Scanned,0,1,1,25/06/2020 19:39:00,25/06/2020 19:51:48
5,33,8610,Scanned,1,0,1,06/06/2020 03:15:00,06/06/2020 04:13:07
3,39,2329,Scanned,0,0,0,19/02/2020 22:59:00,19/02/2020 23:51:19
10,16,7370,Scanned,0,1,0,24/01/2020 22:39:00,24/01/2020 23:29:12
9,46,8009,Scanned,1,1,1,26/02/2020 05:24:00,26/02/2020 06:20:23
1,34,5694,Scanned,0,0,0,15/03/2020 04:03:00,15/03/2020 04:46:14
8,5,3192,Scanned,0,1,0,20/06/2020 19:18:00,20/06/2020 19:19:39
6,16,851,Manual,1,0,0,09/05/2020 21:53:00,09/05/2020 21:59:45
10,10,1832,Scanned,1,0,1,13/03/2020 04:18:00,13/03/2020 05:10:12
4,8,3902,Scanned,0,0,1,02/01/2020 05:03:00,02/01/2020 05:19:04
2,48,2016,Manual,1,0,1,16/06/2020 09:39:00,16/06/2020 10:09:21
2,10,6598,Manual,1,0,0,03/04/2020 23:07:00,03/04/2020 23:15:32
4,27,457,Manual,0,1,1,26/06/2020 20:11:00,26/06/2020 20:34:49
9,30,2920,Scanned,0,0,0,20/06/2020 09:22:00,20/06/2020 09:49:18
7,28,2815,Manual,0,0,0,09/06/2020 17:11:00,09/06/2020 17:26:09
7,43,3172,Scanned,0,1,0,29/03/2020 08:03:00,29/03/2020 08:18:06
10,22,6339,Scanned,0,1,0,25/06/2020 07:11:00,25/06/2020 07:45:09
5,26,972,Scanned,1,0,0,31/03/2020 08:14:00,31/03/2020 09:00:53
6,10,4041,Manual,1,1,0,03/01/2020 21:38:00,03/01/2020 22:31:44
2,48,5843,Scanned,0,1,1,06/03/2020 23:07:00,06/03/2020 23:45:02
7,12,1766,Scanned,1,1,0,16/06/2020 13:56:00,16/06/2020 14:09:39
9,49,6843,Scanned,0,0,1,05/01/2020 23:37:00,06/01/2020 00:33:22
6,27,2469,Manual,0,1,0,22/02/2020 17:26:00,22/02/2020 17:58:45
5,6,4920,Manual,1,1,0,23/05/2020 12:09:00,23/05/2020 12:37:51
8,24,3990,Manual,1,1,0,15/01/2020 09:33:00,15/01/2020 10:25:21
2,19,4410,Manual,1,1,1,26/01/2020 21:24:00,26/01/2020 21:39:14
7,6,9618,Manual,1,0,1,21/02/2020 14:21:00,21/02/2020 15:16:55
5,14,6459,Manual,0,1,0,31/05/2020 06:09:00,31/05/2020 06:35:21
5,29,2880,Manual,1,1,1,29/06/2020 09:13:00,29/06/2020 10:09:52
4,31,9649,Scanned,1,1,0,09/05/2020 14:33:00,09/05/2020 15:14:44
3,5,640,Manual,1,1,0,23/06/2020 01:20:00,23/06/2020 01:57:23
7,25,5635,Scanned,0,1,0,06/02/2020 14:32:00,06/02/2020 15:06:35
5,32,1104,Scanned,1,0,0,11/03/2020 11:26:00,11/03/2020 11:58:28
8,18,208,Manual,1,0,1,13/01/2020 13:32:00,13/01/2020 13:33:03
4,15,5746,Scanned,0,0,0,07/03/2020 23:39:00,07/03/2020 23:55:10
7,46,2453,Scanned,0,1,0,29/04/2020 17:49:00,29/04/2020 18:01:02
9,35,6764,Manual,1,1,0,11/06/2020 14:36:00,11/06/2020 14:46:05
2,31,7418,Scanned,0,1,0,05/01/2020 07:02:00,05/01/2020 07:36:27
5,23,4097,Scanned,1,1,0,19/04/2020 18:28:00,19/04/2020 18:46:14
9,42,48,Scanned,1,1,0,05/06/2020 18:31:00,05/06/2020 19:15:27
4,1,8560,Scanned,0,1,0,11/04/2020 09:46:00,11/04/2020 09:46:43
6,31,791,Manual,1,0,0,04/06/2020 10:57:00,04/06/2020 11:06:32
2,37,204,Scanned,1,0,1,31/03/2020 06:40:00,31/03/2020 07:01:07
7,16,5487,Manual,0,0,1,01/04/2020 18:24:00,01/04/2020 18:45:32
2,41,3430,Scanned,0,0,1,23/01/2020 17:17:00,23/01/2020 18:05:40
4,42,5124,Scanned,0,1,1,15/06/2020 16:48:00,15/06/2020 17:20:19
1,27,2873,Manual,1,0,0,09/06/2020 12:58:00,09/06/2020 13:16:28
6,39,3024,Scanned,1,0,1,29/03/2020 17:26:00,29/03/2020 17:50:28
9,3,6740,Manual,0,1,0,15/03/2020 12:07:00,15/03/2020 12:49:06
4,18,9957,Scanned,0,1,1,23/01/2020 08:51:00,23/01/2020 09:42:13
6,22,6556,Scanned,1,1,0,06/04/2020 13:55:00,06/04/2020 14:13:49
6,2,9883,Manual,1,0,1,03/04/2020 09:13:00,03/04/2020 10:02:10
2,36,4912,Scanned,0,0,0,03/02/2020 11:22:00,03/02/2020 11:46:41
4,21,1662,Scanned,1,0,1,28/01/2020 19:09:00,28/01/2020 19:12:07
9,25,5300,Manual,1,1,1,12/02/2020 14:52:00,12/02/2020 15:50:58
3,21,4581,Manual,1,0,0,28/05/2020 12:11:00,28/05/2020 12:53:28
6,2,579,Manual,1,0,0,11/05/2020 14:03:00,11/05/2020 14:12:55
7,12,7942,Scanned,0,0,0,11/03/2020 05:33:00,11/03/2020 06:12:45
6,41,9134,Scanned,0,1,0,11/02/2020 03:25:00,11/02/2020 03:44:13
6,15,7629,Manual,0,1,1,13/01/2020 09:53:00,13/01/2020 10:31:42
1,14,269,Manual,1,1,0,22/06/2020 02:52:00,22/06/2020 03:30:54
7,10,4844,Scanned,0,0,0,22/02/2020 02:17:00,22/02/2020 02:42:08
8,10,2982,Scanned,0,1,0,04/02/2020 08:57:00,04/02/2020 09:45:54
3,36,4896,Manual,1,0,1,29/04/2020 18:15:00,29/04/2020 18:54:25
10,28,4540,Manual,0,0,1,14/01/2020 13:18:00,14/01/2020 14:11:30
2,50,6347,Scanned,1,1,1,17/06/2020 11:53:00,17/06/2020 12:34:32
3,13,8071,Scanned,0,1,0,16/01/2020 10:12:00,16/01/2020 10:36:01
2,22,3338,Scanned,1,1,1,21/01/2020 03:29:00,21/01/2020 03:33:18
5,48,616,Manual,0,1,1,05/03/2020 14:13:00,05/03/2020 15:08:33
6,18,6355,Manual,0,0,1,24/02/2020 16:37:00,24/02/2020 17:01:09
7,33,5806,Manual,1,1,1,31/01/2020 04:58:00,31/01/2020 05:35:49
3,2,9311,Manual,1,0,1,30/03/2020 15:12:00,30/03/2020 15:23:20
1,1,7599,Scanned,1,1,0,11/01/2020 08:08:00,11/01/2020 08:14:04
6,41,3225,Manual,0,1,0,04/01/2020 02:45:00,04/01/2020 03:02:45
3,30,4249,Scanned,0,0,0,23/05/2020 14:40:00,23/05/2020 14:47:24
2,23,9319,Scanned,0,0,1,03/02/2020 16:54:00,03/02/2020 17:45:25
3,14,4068,Manual,1,1,0,25/01/2020 19:14:00,25/01/2020 20:13:50
4,40,6817,Scanned,1,1,0,29/02/2020 08:19:00,29/02/2020 08:44:33
3,31,6948,Scanned,1,1,1,27/04/2020 00:02:00,27/04/2020 01:00:13
3,31,3319,Scanned,0,0,1,14/03/2020 07:34:00,14/03/2020 08:14:46
8,10,8285,Scanned,0,1,1,20/05/2020 14:05:00,20/05/2020 14:50:22
9,48,8017,Scanned,1,1,0,31/01/2020 22:25:00,31/01/2020 23:03:27
1,31,4374,Scanned,1,1,1,19/03/2020 04:23:00,19/03/2020 05:12:00
3,24,507,Scanned,0,1,0,10/02/2020 20:37:00,10/02/2020 21:33:00
8,17,799,Scanned,1,0,1,27/03/2020 08:11:00,27/03/2020 08:57:28
8,36,744,Scanned,1,1,0,30/03/2020 00:04:00,30/03/2020 00:45:39
7,4,7853,Manual,0,1,1,21/05/2020 21:27:00,21/05/2020 21:53:12
8,6,7577,Scanned,0,1,1,07/04/2020 12:58:00,07/04/2020 13:14:47
2,34,9643,Scanned,0,0,0,13/03/2020 13:34:00,13/03/2020 13:56:45
8,9,6542,Manual,1,1,0,29/02/2020 20:30:00,29/02/2020 21:06:15
8,30,5902,Manual,1,1,0,18/04/2020 13:06:00,18/04/2020 13:29:44
8,14,9510,Scanned,1,0,0,27/05/2020 21:32:00,27/05/2020 22:10:49
9,16,7992,Scanned,0,1,1,11/02/2020 06:54:00,11/02/2020 07:01:06
7,4,1557,Scanned,0,1,0,04/02/2020 06:11:00,04/02/2020 06:35:14
7,33,3239,Manual,1,1,1,29/04/2020 17:41:00,29/04/2020 18:32:01
10,2,2875,Scanned,1,0,0,28/03/2020 11:29:00,28/03/2020 11:53:50
6,18,4268,Scanned,0,0,1,29/06/2020 15:01:00,29/06/2020 15:46:41
6,11,6075,Manual,1,1,0,02/01/2020 18:22:00,02/01/2020 18:55:03
6,34,2089,Scanned,1,1,0,01/01/2020 13:43:00,01/01/2020 13:46:57
7,39,1588,Manual,1,0,1,17/02/2020 23:05:00,17/02/2020 23:24:07
6,50,4870,Manual,0,0,1,18/02/2020 20:40:00,18/02/2020 20:43:08
6,2,6588,Scanned,0,1,1,24/05/2020 23:44:00,25/05/2020 00:08:00
4,12,6140,Manual,1,0,1,15/04/2020 06:18:00,15/04/2020 06:47:39
2,17,5194,Manual,1,0,0,15/06/2020 19:09:00,15/06/2020 19:43:30
4,49,9264,Manual,0,1,1,22/06/2020 22:30:00,22/06/2020 22:59:30
1,20,270,Scanned,1,1,0,28/02/2020 07:46:00,28/02/2020 08:18:28
1,28,6959,Scanned,0,1,1,03/06/2020 12:22:00,03/06/2020 12:47:06
7,26,9654,Scanned,0,1,0,23/03/2020 19:50:00,23/03/2020 20:19:04
5,10,7693,Manual,1,0,0,11/04/2020 07:22:00,11/04/2020 08:02:49
1,32,2068,Scanned,1,0,1,26/06/2020 00:30:00,26/06/2020 01:08:30
5,18,2842,Manual,1,0,0,19/03/2020 14:26:00,19/03/2020 15:22:27
3,40,636,Manual,1,1,0,07/02/2020 20:01:00,07/02/2020 20:13:18
10,31,1281,Scanned,0,0,0,08/06/2020 10:41:00,08/06/2020 10:58:41
7,49,4188,Manual,0,1,0,29/01/2020 22:18:00,29/01/2020 22:25:43
9,40,310,Manual,0,0,0,24/03/2020 18:34:00,24/03/2020 19:15:05
5,10,9277,Manual,0,1,0,25/03/2020 02:24:00,25/03/2020 02:45:28
5,18,4746,Manual,1,0,1,02/01/2020 16:20:00,02/01/2020 16:55:02
4,4,8152,Scanned,0,0,1,15/03/2020 18:05:00,15/03/2020 18:10:42
2,40,7932,Scanned,1,0,1,07/02/2020 07:42:00,07/02/2020 08:03:37
7,31,480,Manual,1,0,0,05/05/2020 13:55:00,05/05/2020 14:40:53
2,8,1494,Scanned,0,1,0,06/04/2020 02:20:00,06/04/2020 03:10:46
4,41,9294,Manual,0,1,1,08/02/2020 10:30:00,08/02/2020 11:13:13
2,25,2747,Manual,0,0,1,24/01/2020 11:37:00,24/01/2020 11:54:44
9,8,3688,Scanned,0,1,0,03/02/2020 00:26:00,03/02/2020 01:21:53
8,48,1341,Scanned,1,0,1,18/06/2020 21:31:00,18/06/2020 21:33:30
6,20,3860,Manual,1,0,1,11/02/2020 20:28:00,11/02/2020 20:56:38
2,2,9235,Manual,1,1,0,07/04/2020 22:07:00,07/04/2020 22:41:25
3,45,6159,Manual,0,1,1,10/06/2020 00:56:00,10/06/2020 01:49:26
7,41,613,Scanned,1,0,1,12/06/2020 11:42:00,12/06/2020 11:44:55
7,35,8473,Scanned,0,1,0,26/02/2020 01:02:00,26/02/2020 01:02:12
1,31,646,Scanned,0,0,0,13/02/2020 00:48:00,13/02/2020 01:10:03
1,43,8770,Manual,0,1,0,28/03/2020 09:41:00,28/03/2020 10:27:58
2,4,4838,Scanned,0,0,0,29/01/2020 08:04:00,29/01/2020 08:08:35
5,42,2176,Manual,1,1,1,26/06/2020 06:43:00,26/06/2020 07:34:45
8,37,2922,Scanned,0,1,1,16/03/2020 03:28:00,16/03/2020 03:32:16
1,7,4265,Manual,1,0,1,08/06/2020 04:48:00,08/06/2020 04:50:00
6,34,3873,Scanned,0,1,0,19/01/2020 04:02:00,19/01/2020 04:05:48
9,50,998,Scanned,0,0,1,15/01/2020 21:25:00,15/01/2020 21:33:08
4,33,1145,Scanned,0,0,0,16/05/2020 12:35:00,16/05/2020 13:20:55
3,21,8067,Manual,1,0,0,22/01/2020 06:09:00,22/01/2020 07:08:36
9,43,9601,Scanned,0,1,0,16/02/2020 02:25:00,16/02/2020 02:59:01
9,24,4950,Scanned,0,0,1,21/05/2020 17:50:00,21/05/2020 18:20:02
8,13,8392,Scanned,0,1,0,18/01/2020 13:21:00,18/01/2020 14:02:13
2,35,1529,Manual,1,1,1,15/06/2020 09:17:00,15/06/2020 09:57:06
8,4,6046,Manual,0,0,0,03/04/2020 18:25:00,03/04/2020 19:16:20
5,4,7555,Scanned,0,0,0,11/04/2020 19:37:00,11/04/2020 20:19:41
7,50,7181,Manual,0,0,0,16/06/2020 04:29:00,16/06/2020 05:09:33
1,6,7759,Manual,1,1,0,15/04/2020 15:29:00,15/04/2020 15:42:08
10,3,2061,Manual,0,1,0,20/06/2020 20:12:00,20/06/2020 20:55:20
5,31,7937,Manual,0,1,1,06/06/2020 18:33:00,06/06/2020 18:40:54
4,10,3351,Scanned,0,1,1,08/06/2020 16:00:00,08/06/2020 16:56:10
4,16,9852,Scanned,1,0,0,29/01/2020 17:39:00,29/01/2020 18:05:48
8,13,6438,Manual,1,1,1,10/06/2020 14:44:00,10/06/2020 15:08:19
1,41,5254,Manual,1,1,0,30/05/2020 08:27:00,30/05/2020 09:19:15
2,27,2479,Scanned,0,1,0,02/06/2020 08:24:00,02/06/2020 09:04:00
2,41,1715,Manual,0,1,0,07/02/2020 18:14:00,07/02/2020 18:41:08
8,23,5640,Manual,0,1,0,08/02/2020 00:29:00,08/02/2020 01:11:00
6,16,5814,Scanned,1,1,1,17/03/2020 09:26:00,17/03/2020 09:39:04
4,43,8783,Scanned,1,1,0,16/06/2020 14:51:00,16/06/2020 15:27:44
6,35,1302,Manual,1,0,1,02/03/2020 18:59:00,02/03/2020 19:39:35
7,37,3882,Manual,0,1,1,01/03/2020 01:11:00,01/03/2020 01:12:29
3,4,2581,Manual,1,0,1,16/04/2020 10:36:00,16/04/2020 10:59:42
3,5,6528,Scanned,1,1,1,16/02/2020 08:41:00,16/02/2020 09:37:40
4,29,6435,Manual,1,0,1,16/05/2020 02:12:00,16/05/2020 03:09:15
2,24,5825,Manual,1,1,0,30/05/2020 02:12:00,30/05/2020 02:23:56
4,46,7178,Manual,1,1,1,13/03/2020 03:14:00,13/03/2020 04:09:53
1,34,3942,Manual,0,0,0,30/01/2020 21:15:00,30/01/2020 21:34:36
7,43,3079,Manual,0,0,1,03/02/2020 21:01:00,03/02/2020 21:15:08
2,44,1739,Scanned,0,1,1,12/02/2020 06:02:00,12/02/2020 06:26:25
7,15,4457,Manual,1,0,0,19/02/2020 02:55:00,19/02/2020 03:51:53
7,46,9612,Scanned,1,1,0,01/06/2020 08:15:00,01/06/2020 09:13:11
10,4,6092,Scanned,1,0,0,28/03/2020 14:13:00,28/03/2020 14:18:07
2,28,5125,Scanned,1,0,0,20/04/2020 19:08:00,20/04/2020 19:20:05
1,26,9493,Manual,0,0,1,29/01/2020 08:52:00,29/01/2020 08:57:56
4,44,1386,Scanned,0,0,0,26/05/2020 12:58:00,26/05/2020 13:21:48
4,36,2555,Manual,1,1,1,15/02/2020 13:06:00,15/02/2020 13:23:00
9,19,2903,Scanned,1,1,1,16/06/2020 11:03:00,16/06/2020 11:08:10
3,46,7180,Manual,0,0,1,02/06/2020 00:45:00,02/06/2020 01:33:16
10,13,7795,Scanned,0,1,0,28/02/2020 05:48:00,28/02/2020 06:37:55
2,6,7508,Scanned,1,0,1,06/03/2020 09:25:00,06/03/2020 09:50:10
4,37,8069,Scanned,1,0,1,14/01/2020 23:53:00,15/01/2020 00:51:53
4,25,4166,Manual,0,0,1,16/04/2020 06:45:00,16/04/2020 07:18:46
6,41,1930,Scanned,1,0,1,30/01/2020 00:18:00,30/01/2020 00:53:48
5,32,2257,Manual,1,1,1,04/02/2020 08:12:00,04/02/2020 08:54:56
5,39,4804,Manual,1,0,0,17/06/2020 21:01:00,17/06/2020 21:03:15
7,42,3476,Manual,1,1,0,29/04/2020 01:21:00,29/04/2020 01:40:41
7,39,7907,Manual,0,1,1,18/01/2020 03:42:00,18/01/2020 03:45:32
5,9,5156,Scanned,0,1,1,12/06/2020 16:42:00,12/06/2020 17:35:54
7,7,6205,Scanned,1,1,1,29/01/2020 12:59:00,29/01/2020 13:56:44
1,50,1483,Manual,0,1,0,13/03/2020 06:31:00,13/03/2020 07:02:51
5,32,9685,Manual,1,1,0,20/01/2020 17:59:00,20/01/2020 18:29:05
6,42,4865,Scanned,0,0,0,20/04/2020 13:02:00,20/04/2020 13:56:26
